# generated test strings — hashmap
# name	status	conditions	sequence
hashmap-001	PASSED	6	put -> put -> put
hashmap-002	STOPPED	5	put -> put -> getOldValue -> remove
hashmap-003	STOPPED	1	getOldValue -> put -> put -> put -> remove -> remove
hashmap-004	STOPPED	7	put -> put -> put -> remove -> getOldValue
hashmap-005	STOPPED	1	remove -> getOldValue -> put -> getOldValue -> getOldValue -> remove
hashmap-006	STOPPED	5	put -> put -> getOldValue -> remove
hashmap-007	STOPPED	1	getOldValue -> getOldValue
hashmap-008	STOPPED	1	getOldValue -> put -> put -> getOldValue -> remove
hashmap-009	PASSED	12	put -> put -> put -> put -> put -> put
hashmap-010	STOPPED	10	put -> put -> put -> remove -> getOldValue
hashmap-011	STOPPED	11	put -> put -> getOldValue -> remove -> remove
hashmap-012	STOPPED	1	getOldValue -> getOldValue -> put -> put -> getOldValue
hashmap-013	STOPPED	1	getOldValue -> put -> getOldValue -> getOldValue -> getOldValue -> remove -> getOldValue
hashmap-014	STOPPED	1	getOldValue -> put -> put
hashmap-015	STOPPED	1	remove -> remove -> getOldValue -> put -> getOldValue -> getOldValue -> remove
hashmap-016	STOPPED	1	remove -> getOldValue -> put
hashmap-017	STOPPED	1	getOldValue -> put -> remove
hashmap-018	PASSED	7	put -> put -> remove
hashmap-019	STOPPED	1	remove -> remove -> put -> getOldValue -> put -> put
hashmap-020	STOPPED	1	remove -> getOldValue -> getOldValue -> put -> remove
hashmap-021	STOPPED	3	put -> getOldValue -> put -> remove -> remove
hashmap-022	STOPPED	1	remove -> remove -> remove -> remove -> put
hashmap-023	STOPPED	10	put -> put -> put -> getOldValue -> remove
hashmap-024	STOPPED	1	getOldValue -> remove -> put
hashmap-025	STOPPED	1	getOldValue -> put -> put -> remove
hashmap-026	STOPPED	1	getOldValue -> getOldValue -> put -> put -> remove
hashmap-027	STOPPED	1	getOldValue -> remove -> put
hashmap-028	STOPPED	3	put -> getOldValue -> put -> remove -> put -> getOldValue -> remove
hashmap-029	STOPPED	5	put -> put -> remove
hashmap-030	STOPPED	1	getOldValue -> put -> put -> put -> put -> getOldValue -> remove
hashmap-031	STOPPED	5	put -> put -> remove -> getOldValue -> remove
hashmap-032	STOPPED	6	put -> getOldValue -> getOldValue
hashmap-033	STOPPED	8	put -> put -> remove -> remove -> getOldValue -> remove
hashmap-034	STOPPED	5	put -> put -> remove -> remove
hashmap-035	STOPPED	6	put -> remove -> getOldValue -> remove -> put -> getOldValue
hashmap-036	STOPPED	11	put -> put -> getOldValue -> remove -> remove
hashmap-037	STOPPED	3	put -> getOldValue -> remove -> remove
hashmap-038	STOPPED	1	remove -> put -> remove -> put -> put -> getOldValue
hashmap-039	STOPPED	1	remove -> put -> getOldValue -> put
hashmap-040	STOPPED	8	put -> put -> getOldValue -> remove -> remove
hashmap-041	STOPPED	1	getOldValue -> put -> remove -> remove
hashmap-042	PASSED	7	put -> getOldValue -> put
hashmap-043	STOPPED	8	put -> put -> getOldValue -> remove
hashmap-044	STOPPED	3	put -> getOldValue -> put -> getOldValue -> remove
hashmap-045	STOPPED	1	getOldValue -> put -> put -> getOldValue
hashmap-046	STOPPED	5	put -> put -> getOldValue -> getOldValue -> remove
hashmap-047	PASSED	9	put -> put -> put -> remove
hashmap-048	STOPPED	7	put -> put -> put -> getOldValue -> remove
hashmap-049	STOPPED	5	put -> put -> getOldValue -> put -> remove
hashmap-050	STOPPED	1	remove -> getOldValue -> put -> put -> remove
hashmap-051	STOPPED	10	put -> put -> put -> getOldValue -> getOldValue -> remove
hashmap-052	PASSED	4	put -> put
hashmap-053	STOPPED	1	getOldValue -> getOldValue -> put -> remove
hashmap-054	STOPPED	3	put -> getOldValue -> remove
hashmap-055	STOPPED	7	put -> put -> put -> getOldValue -> put -> getOldValue -> remove
hashmap-056	STOPPED	1	getOldValue -> put
hashmap-057	STOPPED	11	put -> put -> getOldValue -> remove -> remove
hashmap-058	STOPPED	3	put -> remove -> getOldValue
hashmap-059	STOPPED	3	put -> getOldValue -> getOldValue -> remove -> put
hashmap-060	STOPPED	1	getOldValue -> getOldValue -> put -> remove -> remove -> getOldValue
hashmap-061	PASSED	13	put -> put -> getOldValue -> getOldValue -> remove
hashmap-062	PASSED	13	put -> getOldValue -> put -> getOldValue -> remove
hashmap-063	STOPPED	1	remove -> getOldValue
hashmap-064	STOPPED	5	put -> put -> getOldValue -> getOldValue -> remove
hashmap-065	STOPPED	1	remove -> put -> put -> getOldValue -> getOldValue -> put
hashmap-066	STOPPED	1	getOldValue -> remove -> put -> getOldValue
hashmap-067	STOPPED	1	getOldValue -> getOldValue -> remove -> getOldValue
hashmap-068	STOPPED	1	getOldValue -> getOldValue -> getOldValue
hashmap-069	STOPPED	5	put -> put -> getOldValue -> remove
hashmap-070	STOPPED	1	remove -> getOldValue -> put -> getOldValue -> remove
hashmap-071	STOPPED	5	put -> put -> getOldValue -> remove
hashmap-072	STOPPED	1	remove -> remove -> put -> put -> remove -> put -> remove
hashmap-073	STOPPED	1	remove -> put -> remove
hashmap-074	PASSED	7	put -> put -> getOldValue
hashmap-075	STOPPED	1	getOldValue -> put -> getOldValue -> remove -> remove
hashmap-076	STOPPED	3	put -> remove -> getOldValue -> put -> getOldValue -> remove
hashmap-077	STOPPED	1	remove -> put -> put -> put -> getOldValue -> put -> getOldValue
hashmap-078	STOPPED	1	getOldValue -> getOldValue -> remove -> put -> put
