# generated mutants — linkedlist
# id	status	operator	method	file	killed-by-family	detail
LINKEDLIST_GEN_SDL_1	INVALID	statement-deletion	-	Helper.java	-	the mutated library does not compile: Helper.java:32: cannot find symbol
LINKEDLIST_GEN_SEI_2	INVALID	side-effect-insertion	-	Helper.java	-	the mutated library does not compile: Helper.java:30: <identifier> expected
LINKEDLIST_GEN_SDL_3	INVALID	statement-deletion	-	Helper.java	-	the mutated library does not compile: Helper.java:45: cannot find symbol
LINKEDLIST_GEN_SEI_4	INVALID	side-effect-insertion	-	Helper.java	-	the mutated library does not compile: Helper.java:31: <identifier> expected
LINKEDLIST_GEN_SDL_5	INVALID	statement-deletion	-	Helper.java	-	the mutated library does not compile: GeneratedATCs.java:13: cannot find symbol
LINKEDLIST_GEN_SEI_6	INVALID	side-effect-insertion	-	Helper.java	-	the mutated library does not compile: Helper.java:37: <identifier> expected
LINKEDLIST_GEN_CRP_7	KILLED	constant-replacement	-	Helper.java	-	killed by a generated assertion in GeneratedATCs_JUnit
LINKEDLIST_GEN_CRP_8	KILLED	constant-replacement	-	Helper.java	-	killed by a generated assertion in GeneratedATCs_JUnit
LINKEDLIST_GEN_SDL_9	SURVIVED	statement-deletion	addFirst	Helper.java	linkedlist-005: addLast -> addFirst	every generated condition still holds
LINKEDLIST_GEN_SEI_10	SURVIVED	side-effect-insertion	addFirst	Helper.java	-	every generated condition still holds
LINKEDLIST_GEN_SDL_11	KILLED	statement-deletion	addFirst	Helper.java	-	killed by block 0  addFirst  ensures  head == value
LINKEDLIST_GEN_SEI_12	SURVIVED	side-effect-insertion	addFirst	Helper.java	-	every generated condition still holds
LINKEDLIST_GEN_SDL_13	KILLED	statement-deletion	addFirst	Helper.java	-	killed by block 0  addFirst  ensures  head == value
LINKEDLIST_GEN_SEI_14	KILLED	side-effect-insertion	addFirst	Helper.java	-	killed by block 0  addFirst  ensures  size == \old(size) + 1
LINKEDLIST_GEN_ROR_15	INVALID	relational-operator-replacement	addLast	Helper.java	-	the mutated library does not compile: Helper.java:53: bad operand types for binary operator '<='
LINKEDLIST_GEN_ROR_16	INVALID	relational-operator-replacement	addLast	Helper.java	-	the mutated library does not compile: Helper.java:53: bad operand types for binary operator '>='
LINKEDLIST_GEN_ROR_17	KILLED	relational-operator-replacement	addLast	Helper.java	-	killed by block 1  addLast  ensures  size == \old(size) + 1
LINKEDLIST_GEN_ROR_18	INVALID	relational-operator-replacement	addLast	Helper.java	-	the mutated library does not compile: Helper.java:53: bad operand types for binary operator '<'
LINKEDLIST_GEN_ROR_19	INVALID	relational-operator-replacement	addLast	Helper.java	-	the mutated library does not compile: Helper.java:53: bad operand types for binary operator '>'
LINKEDLIST_GEN_COI_20	KILLED	conditional-operator-insertion	addLast	Helper.java	-	killed by block 1  addLast  ensures  size == \old(size) + 1
LINKEDLIST_GEN_CTC_21	KILLED	condition-to-constant	addLast	Helper.java	-	killed by block 1  addLast  ensures  size == \old(size) + 1
LINKEDLIST_GEN_CTC_22	SURVIVED	condition-to-constant	addLast	Helper.java	linkedlist-003: addLast -> removeFirst	every generated condition still holds
LINKEDLIST_GEN_ROR_23	INVALID	relational-operator-replacement	addLast	Helper.java	-	the mutated library does not compile: Helper.java:57: bad operand types for binary operator '<='
LINKEDLIST_GEN_ROR_24	INVALID	relational-operator-replacement	addLast	Helper.java	-	the mutated library does not compile: Helper.java:57: bad operand types for binary operator '>='
LINKEDLIST_GEN_ROR_25	KILLED	relational-operator-replacement	addLast	Helper.java	-	killed by the singular case (exit 1)
LINKEDLIST_GEN_ROR_26	INVALID	relational-operator-replacement	addLast	Helper.java	-	the mutated library does not compile: Helper.java:57: bad operand types for binary operator '<'
LINKEDLIST_GEN_ROR_27	INVALID	relational-operator-replacement	addLast	Helper.java	-	the mutated library does not compile: Helper.java:57: bad operand types for binary operator '>'
LINKEDLIST_GEN_COI_28	KILLED	conditional-operator-insertion	addLast	Helper.java	-	killed by the singular case (exit 1)
LINKEDLIST_GEN_SDL_29	SURVIVED	statement-deletion	addLast	Helper.java	linkedlist-002: addFirst -> addLast -> addLast -> removeFirst -> removeFirst -> indexOf	every generated condition still holds
LINKEDLIST_GEN_SEI_30	SURVIVED	side-effect-insertion	addLast	Helper.java	-	every generated condition still holds
LINKEDLIST_GEN_SDL_31	KILLED	statement-deletion	addLast	Helper.java	-	killed by block 1  addLast  ensures  tail == value
LINKEDLIST_GEN_SEI_32	SURVIVED	side-effect-insertion	addLast	Helper.java	-	every generated condition still holds
LINKEDLIST_GEN_SDL_33	KILLED	statement-deletion	removeFirst	Helper.java	-	killed by block 2  removeFirst  ensures  size == \old(size) - 1
LINKEDLIST_GEN_SEI_34	SURVIVED	side-effect-insertion	removeFirst	Helper.java	-	every generated condition still holds
