# generated test strings — linkedlist
# name	status	conditions	sequence
linkedlist-001	STOPPED	8	addFirst -> removeFirst -> indexOf
linkedlist-002	PASSED	21	addFirst -> addLast -> addLast -> removeFirst -> removeFirst -> indexOf
linkedlist-003	PASSED	7	addLast -> removeFirst
linkedlist-004	STOPPED	18	addFirst -> addLast -> indexOf -> removeFirst -> removeFirst -> indexOf
linkedlist-005	PASSED	8	addLast -> addFirst
linkedlist-006	PASSED	17	addLast -> addFirst -> removeFirst -> indexOf -> indexOf
linkedlist-007	PASSED	17	addFirst -> addLast -> removeFirst -> indexOf -> indexOf
linkedlist-008	STOPPED	1	indexOf -> indexOf -> indexOf -> addFirst -> indexOf
linkedlist-009	PASSED	18	addFirst -> addLast -> addFirst -> removeFirst -> indexOf
linkedlist-010	STOPPED	1	removeFirst -> addLast
linkedlist-011	PASSED	18	addFirst -> addFirst -> addLast -> removeFirst -> indexOf
linkedlist-012	PASSED	11	addFirst -> indexOf -> addLast
linkedlist-013	PASSED	14	addFirst -> indexOf -> indexOf -> addLast
linkedlist-014	STOPPED	1	indexOf -> addLast -> addFirst
linkedlist-015	PASSED	15	addLast -> indexOf -> addLast -> addLast
linkedlist-016	PASSED	14	addFirst -> addLast -> removeFirst -> indexOf
linkedlist-017	PASSED	18	addFirst -> addFirst -> addLast -> removeFirst -> indexOf
linkedlist-018	STOPPED	1	removeFirst -> addLast -> addFirst -> addFirst -> indexOf -> indexOf
linkedlist-019	PASSED	17	addFirst -> addLast -> removeFirst -> indexOf -> indexOf
linkedlist-020	STOPPED	15	addLast -> addFirst -> removeFirst -> removeFirst -> indexOf
linkedlist-021	STOPPED	18	addFirst -> addLast -> indexOf -> removeFirst -> removeFirst -> indexOf
linkedlist-022	STOPPED	1	indexOf -> removeFirst -> addLast
linkedlist-023	PASSED	22	addFirst -> addLast -> addLast -> addLast -> removeFirst -> indexOf
linkedlist-024	STOPPED	1	indexOf -> addLast -> addLast -> removeFirst -> addFirst
linkedlist-025	PASSED	19	addFirst -> addFirst -> addFirst -> addLast -> removeFirst
