# generated mutants — mathlib
# id	status	operator	method	file	killed-by-family	detail
MATHLIB_GEN_CRP_1	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
MATHLIB_GEN_CRP_2	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
MATHLIB_GEN_CRP_3	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
MATHLIB_GEN_CRP_4	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
MATHLIB_GEN_ROR_5	SURVIVED	relational-operator-replacement	abs	Helper.java	-	every generated condition still holds
MATHLIB_GEN_ROR_6	KILLED	relational-operator-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  absValue >= 0
MATHLIB_GEN_ROR_7	KILLED	relational-operator-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  absValue >= 0
MATHLIB_GEN_ROR_8	SURVIVED	relational-operator-replacement	abs	Helper.java	mathlib-007: abs -> abs -> gcd -> power -> factorial	every generated condition still holds
MATHLIB_GEN_ROR_9	KILLED	relational-operator-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  absValue >= 0
MATHLIB_GEN_COI_10	KILLED	conditional-operator-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  absValue >= 0
MATHLIB_GEN_CRP_11	SURVIVED	constant-replacement	abs	Helper.java	-	every generated condition still holds
MATHLIB_GEN_CRP_12	SURVIVED	constant-replacement	abs	Helper.java	-	every generated condition still holds
MATHLIB_GEN_CTC_13	SURVIVED	condition-to-constant	abs	Helper.java	mathlib-007: abs -> abs -> gcd -> power -> factorial	every generated condition still holds
MATHLIB_GEN_CTC_14	KILLED	condition-to-constant	abs	Helper.java	-	killed by block 0  abs  ensures  absValue >= 0
MATHLIB_GEN_AOI_15	SURVIVED	arithmetic-operator-insertion	abs	Helper.java	-	every generated condition still holds
MATHLIB_GEN_AOI_16	SURVIVED	arithmetic-operator-insertion	abs	Helper.java	-	every generated condition still holds
MATHLIB_GEN_UOI_17	KILLED	unary-operator-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  absValue >= 0
MATHLIB_GEN_ABS_18	KILLED	absolute-value-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  absValue >= 0
MATHLIB_GEN_SDL_19	KILLED	statement-deletion	abs	Helper.java	-	killed by block 0  abs  ensures  absValue >= 0
MATHLIB_GEN_SEI_20	KILLED	side-effect-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_AOR_21	KILLED	arithmetic-operator-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_AOR_22	KILLED	arithmetic-operator-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_AOR_23	KILLED	arithmetic-operator-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_AOR_24	KILLED	arithmetic-operator-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_AOI_25	KILLED	arithmetic-operator-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_AOI_26	KILLED	arithmetic-operator-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_UOI_27	KILLED	unary-operator-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_ABS_28	KILLED	absolute-value-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_CRP_29	KILLED	constant-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_CRP_30	KILLED	constant-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_CRP_31	KILLED	constant-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_SDL_32	KILLED	statement-deletion	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_VRO_33	KILLED	variable-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_VRO_34	SURVIVED	variable-replacement	abs	Helper.java	mathlib-007: abs -> abs -> gcd -> power -> factorial	every generated condition still holds
MATHLIB_GEN_AOI_35	KILLED	arithmetic-operator-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  lastResult == absValue
MATHLIB_GEN_AOI_36	KILLED	arithmetic-operator-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  lastResult == absValue
MATHLIB_GEN_UOI_37	KILLED	unary-operator-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  lastResult == absValue
MATHLIB_GEN_ABS_38	KILLED	absolute-value-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  lastResult == absValue
MATHLIB_GEN_SDL_39	KILLED	statement-deletion	abs	Helper.java	-	killed by block 0  abs  ensures  lastResult == absValue
MATHLIB_GEN_SEI_40	KILLED	side-effect-insertion	abs	Helper.java	-	killed by block 0  abs  ensures  calls == \old(calls) + 1
MATHLIB_GEN_VRO_41	KILLED	variable-replacement	abs	Helper.java	-	killed by block 0  abs  ensures  lastResult == absValue
