# generated mutants — queue
# id	status	operator	method	file	killed-by-family	detail
QUEUE_GEN_SDL_1	INVALID	statement-deletion	-	Helper.java	-	the mutated library does not compile: GeneratedATCs.java:13: cannot find symbol
QUEUE_GEN_SEI_2	INVALID	side-effect-insertion	-	Helper.java	-	the mutated library does not compile: Helper.java:26: <identifier> expected
QUEUE_GEN_CRP_3	KILLED	constant-replacement	-	Helper.java	-	killed by a generated assertion in GeneratedATCs_JUnit
QUEUE_GEN_CRP_4	KILLED	constant-replacement	-	Helper.java	-	killed by a generated assertion in GeneratedATCs_JUnit
QUEUE_GEN_SDL_5	KILLED	statement-deletion	enqueue	Helper.java	-	killed by the singular case (exit 1)
QUEUE_GEN_STR_6	KILLED	statement-replacement	enqueue	Helper.java	-	killed by block 0  enqueue  ensures  size == \old(size) + 1
QUEUE_GEN_ARP_7	KILLED	argument-replacement	enqueue	Helper.java	-	killed by block 0  enqueue  ensures  Q.contains(elem)
QUEUE_GEN_ARP_8	INVALID	argument-replacement	enqueue	Helper.java	-	the mutated library does not compile: Helper.java:32: bad operand types for binary operator '-'
QUEUE_GEN_MCR_9	KILLED	method-call-replacement	enqueue	Helper.java	-	killed by the singular case (exit 1)
QUEUE_GEN_SEI_10	SURVIVED	side-effect-insertion	enqueue	Helper.java	-	every generated condition still holds
QUEUE_GEN_AOI_11	KILLED	arithmetic-operator-insertion	enqueue	Helper.java	-	killed by block 0  enqueue  ensures  size == \old(size) + 1
QUEUE_GEN_AOI_12	KILLED	arithmetic-operator-insertion	enqueue	Helper.java	-	killed by block 0  enqueue  ensures  size == \old(size) + 1
QUEUE_GEN_UOI_13	KILLED	unary-operator-insertion	enqueue	Helper.java	-	killed by block 0  enqueue  ensures  size == \old(size) + 1
QUEUE_GEN_ABS_14	KILLED	absolute-value-insertion	enqueue	Helper.java	-	killed by block 0  enqueue  ensures  size == \old(size) + 1
QUEUE_GEN_SDL_15	KILLED	statement-deletion	enqueue	Helper.java	-	killed by block 0  enqueue  ensures  size == \old(size) + 1
QUEUE_GEN_MCR_16	KILLED	method-call-replacement	enqueue	Helper.java	-	killed by block 0  enqueue  ensures  size == \old(size) + 1
QUEUE_GEN_CRP_17	KILLED	constant-replacement	enqueue	Helper.java	-	killed by the singular case (exit 1)
QUEUE_GEN_CRP_18	KILLED	constant-replacement	enqueue	Helper.java	-	killed by the singular case (exit 1)
QUEUE_GEN_SDL_19	KILLED	statement-deletion	enqueue	Helper.java	-	killed by block 2  dequeue  ensures  dequeuedElem == \old(head)
QUEUE_GEN_ARP_20	KILLED	argument-replacement	enqueue	Helper.java	-	killed by the singular case (exit 1)
QUEUE_GEN_ARP_21	KILLED	argument-replacement	enqueue	Helper.java	-	killed by the singular case (exit 1)
