# generated test strings — queue
# name	status	conditions	sequence
queue-001	PASSED	15	enqueue -> enqueue -> enqueue -> dequeue -> front
queue-002	STOPPED	10	enqueue -> isEmpty -> dequeue -> front -> enqueue
queue-003	STOPPED	1	front -> enqueue -> dequeue -> front -> isEmpty
queue-004	STOPPED	13	enqueue -> enqueue -> dequeue -> dequeue -> front -> isEmpty
queue-005	PASSED	12	enqueue -> enqueue -> dequeue -> front
queue-006	STOPPED	1	dequeue -> isEmpty -> isEmpty
queue-007	STOPPED	1	dequeue -> enqueue -> enqueue -> front -> isEmpty
queue-008	STOPPED	1	dequeue -> front -> front -> isEmpty
queue-009	STOPPED	10	enqueue -> isEmpty -> dequeue -> front -> enqueue
queue-010	PASSED	18	enqueue -> enqueue -> dequeue -> front -> isEmpty -> isEmpty
queue-011	FAILED	10	enqueue -> dequeue -> isEmpty -> dequeue -> isEmpty -> front
queue-012	STOPPED	1	dequeue -> enqueue -> enqueue -> isEmpty
queue-013	STOPPED	1	dequeue -> enqueue -> enqueue -> dequeue -> front -> front -> isEmpty
queue-014	PASSED	9	enqueue -> enqueue -> front
queue-015	PASSED	6	enqueue -> enqueue
queue-016	PASSED	21	enqueue -> enqueue -> dequeue -> front -> enqueue -> enqueue -> isEmpty
queue-017	PASSED	21	enqueue -> enqueue -> enqueue -> enqueue -> dequeue -> front -> isEmpty
queue-018	FAILED	15	enqueue -> enqueue -> dequeue -> dequeue -> isEmpty
queue-019	STOPPED	13	enqueue -> enqueue -> dequeue -> dequeue -> front -> isEmpty
queue-020	PASSED	21	enqueue -> enqueue -> isEmpty -> isEmpty -> dequeue -> front -> enqueue
queue-021	PASSED	18	enqueue -> enqueue -> isEmpty -> isEmpty -> front -> dequeue
queue-022	PASSED	12	enqueue -> dequeue -> enqueue -> isEmpty
queue-023	STOPPED	7	enqueue -> dequeue -> front -> isEmpty
queue-024	STOPPED	1	front -> isEmpty
queue-025	PASSED	15	enqueue -> enqueue -> dequeue -> isEmpty -> front
queue-026	STOPPED	13	enqueue -> enqueue -> dequeue -> dequeue -> front -> isEmpty
queue-027	PASSED	18	enqueue -> enqueue -> enqueue -> dequeue -> front -> isEmpty
queue-028	STOPPED	7	enqueue -> dequeue -> front -> isEmpty
queue-029	PASSED	12	enqueue -> enqueue -> front -> isEmpty
queue-030	STOPPED	1	front -> enqueue -> dequeue -> enqueue -> isEmpty
queue-031	FAILED	10	isEmpty -> enqueue -> dequeue -> dequeue -> dequeue
queue-032	FAILED	4	isEmpty -> dequeue
queue-033	FAILED	15	enqueue -> dequeue -> enqueue -> dequeue -> isEmpty
queue-034	PASSED	12	enqueue -> front -> enqueue -> front
queue-035	FAILED	4	isEmpty -> dequeue -> front -> enqueue
queue-036	PASSED	15	enqueue -> enqueue -> enqueue -> dequeue -> isEmpty
