# generated test strings — set
# name	status	conditions	sequence
set-001	PASSED	7	add -> add -> remove
set-002	PASSED	10	add -> add -> remove -> contains
set-003	STOPPED	5	add -> add -> remove
set-004	STOPPED	1	remove -> contains -> contains -> remove -> contains
set-005	STOPPED	1	remove -> add -> add -> add
set-006	PASSED	15	add -> add -> contains -> contains -> add -> remove
set-007	STOPPED	3	add -> remove -> add -> add -> contains
set-008	STOPPED	4	contains -> remove
set-009	PASSED	10	add -> add -> remove -> contains
set-010	STOPPED	1	remove -> contains
set-011	STOPPED	4	contains -> remove -> add -> add
set-012	STOPPED	1	remove -> add -> add -> contains -> remove
set-013	PASSED	12	add -> add -> add -> remove -> remove
set-014	STOPPED	3	add -> remove -> remove -> contains -> add
set-015	PASSED	4	add -> add
set-016	PASSED	5	add -> remove
set-017	PASSED	10	add -> contains -> add -> remove
set-018	PASSED	11	add -> add -> contains -> add -> add
set-019	STOPPED	12	add -> add -> add -> add -> contains -> remove
set-020	PASSED	11	add -> remove -> contains -> contains
set-021	STOPPED	1	remove -> remove
set-022	PASSED	8	add -> contains -> remove
set-023	STOPPED	10	add -> add -> add -> contains -> remove
set-024	STOPPED	8	contains -> add -> add -> remove
set-025	STOPPED	1	remove -> add -> contains -> contains
set-026	PASSED	15	add -> add -> add -> contains -> contains -> remove
set-027	PASSED	17	contains -> add -> add -> add -> add -> contains -> remove
set-028	STOPPED	6	add -> contains -> remove -> remove
set-029	STOPPED	11	contains -> contains -> add -> add -> remove
set-030	PASSED	12	add -> add -> contains -> add -> remove
set-031	PASSED	12	add -> add -> contains -> add -> remove
set-032	STOPPED	8	contains -> add -> add -> remove
set-033	STOPPED	9	add -> contains -> contains -> remove
set-034	STOPPED	10	contains -> add -> add -> add -> remove
set-035	STOPPED	8	add -> add -> remove -> remove -> contains -> remove
set-036	STOPPED	8	contains -> add -> add -> remove
set-037	STOPPED	1	remove -> add -> add -> contains -> remove
set-038	STOPPED	8	add -> contains -> add -> remove
set-039	STOPPED	1	remove -> remove -> add -> remove -> add
set-040	PASSED	10	add -> contains -> add -> remove
set-041	STOPPED	1	remove -> contains -> contains -> add -> remove
