# generated mutants — stack
# id	status	operator	method	file	killed-by-family	detail
STACK_GEN_SDL_1	INVALID	statement-deletion	-	Helper.java	-	the mutated library does not compile: Helper.java:31: cannot find symbol
STACK_GEN_SEI_2	INVALID	side-effect-insertion	-	Helper.java	-	the mutated library does not compile: Helper.java:25: <identifier> expected
STACK_GEN_CRP_3	KILLED	constant-replacement	-	Helper.java	-	killed by a generated assertion in GeneratedATCs_JUnit
STACK_GEN_CRP_4	KILLED	constant-replacement	-	Helper.java	-	killed by a generated assertion in GeneratedATCs_JUnit
STACK_GEN_SDL_5	KILLED	statement-deletion	push	Helper.java	-	killed by block 0  push  ensures  size == \old(size) + 1
STACK_GEN_STR_6	KILLED	statement-replacement	push	Helper.java	-	killed by block 0  push  ensures  size == \old(size) + 1
STACK_GEN_ARP_7	SURVIVED	argument-replacement	push	Helper.java	stack-005: push -> push -> peek -> pop	every generated condition still holds
STACK_GEN_ARP_8	INVALID	argument-replacement	push	Helper.java	-	the mutated library does not compile: Helper.java:31: bad operand types for binary operator '-'
STACK_GEN_MCR_9	KILLED	method-call-replacement	push	Helper.java	-	killed by block 0  push  ensures  size == \old(size) + 1
STACK_GEN_SEI_10	SURVIVED	side-effect-insertion	push	Helper.java	-	every generated condition still holds
STACK_GEN_AOI_11	KILLED	arithmetic-operator-insertion	push	Helper.java	-	killed by block 0  push  ensures  size == \old(size) + 1
STACK_GEN_AOI_12	KILLED	arithmetic-operator-insertion	push	Helper.java	-	killed by block 0  push  ensures  size == \old(size) + 1
STACK_GEN_UOI_13	KILLED	unary-operator-insertion	push	Helper.java	-	killed by block 0  push  ensures  size == \old(size) + 1
STACK_GEN_ABS_14	KILLED	absolute-value-insertion	push	Helper.java	-	killed by block 0  push  ensures  size == \old(size) + 1
STACK_GEN_SDL_15	KILLED	statement-deletion	push	Helper.java	-	killed by block 0  push  ensures  size == \old(size) + 1
STACK_GEN_MCR_16	KILLED	method-call-replacement	push	Helper.java	-	killed by block 0  push  ensures  size == \old(size) + 1
STACK_GEN_SDL_17	KILLED	statement-deletion	push	Helper.java	-	killed by block 0  push  ensures  top == elem
STACK_GEN_SEI_18	KILLED	side-effect-insertion	push	Helper.java	-	killed by block 0  push  ensures  size == \old(size) + 1
