# generated test strings — stack
# name	status	conditions	sequence
stack-001	STOPPED	6	push -> pop -> pop -> pop -> push -> peek
stack-002	STOPPED	6	push -> pop -> peek
stack-003	STOPPED	1	peek -> pop -> push -> push -> pop -> peek
stack-004	PASSED	14	push -> push -> push -> pop -> peek
stack-005	PASSED	11	push -> push -> peek -> pop
stack-006	STOPPED	1	pop -> push -> pop -> peek
stack-007	STOPPED	1	peek -> peek -> pop -> push
stack-008	STOPPED	11	push -> push -> pop -> pop -> peek
stack-009	STOPPED	1	pop -> pop -> push -> peek -> pop -> peek
stack-010	PASSED	14	push -> push -> pop -> peek -> peek
stack-011	PASSED	14	push -> push -> pop -> push -> peek
stack-012	STOPPED	1	peek -> pop -> peek
stack-013	PASSED	14	push -> push -> push -> pop -> peek
stack-014	STOPPED	1	pop -> push -> pop -> push
stack-015	STOPPED	6	push -> pop -> pop -> pop
stack-016	PASSED	6	push -> push
stack-017	PASSED	11	push -> push -> pop -> peek
stack-018	STOPPED	1	peek -> push -> push -> push -> push -> peek
stack-019	PASSED	9	push -> push -> peek
stack-020	STOPPED	1	pop -> push
stack-021	STOPPED	1	pop -> peek -> pop -> peek -> peek -> push -> peek
stack-022	STOPPED	1	peek -> pop -> push
stack-023	STOPPED	1	peek -> peek -> pop -> push -> pop -> pop -> pop
stack-024	PASSED	20	push -> peek -> push -> push -> push -> pop -> peek
stack-025	STOPPED	1	pop -> peek -> pop -> pop
stack-026	PASSED	9	push -> push -> peek
stack-027	PASSED	6	push -> push
stack-028	STOPPED	1	peek -> peek -> push
stack-029	PASSED	11	push -> push -> pop -> peek
stack-030	STOPPED	1	pop -> push -> push -> peek
stack-031	PASSED	11	push -> push -> pop -> peek
stack-032	STOPPED	11	push -> push -> pop -> pop -> peek
stack-033	PASSED	12	push -> push -> peek -> peek
stack-034	STOPPED	6	push -> pop -> pop -> peek -> push -> push -> peek
stack-035	STOPPED	1	pop -> push -> push -> pop -> pop -> pop
stack-036	PASSED	11	push -> push -> peek -> pop
stack-037	PASSED	11	push -> peek -> pop -> push
stack-038	STOPPED	1	pop -> pop -> pop -> push -> push -> peek
stack-039	PASSED	9	push -> push -> peek
stack-040	STOPPED	1	pop -> push -> push -> push -> pop -> peek -> peek
stack-041	PASSED	16	push -> push -> push -> pop -> pop -> peek
stack-042	PASSED	8	push -> peek -> pop
stack-043	PASSED	14	push -> pop -> push -> peek -> peek
stack-044	STOPPED	9	push -> peek -> pop -> pop -> peek
stack-045	PASSED	5	push -> pop
stack-046	STOPPED	9	push -> peek -> pop -> peek -> push
stack-047	PASSED	9	push -> push -> peek
stack-048	STOPPED	1	pop -> push -> push -> peek -> pop -> peek
stack-049	STOPPED	1	pop -> push -> push -> pop -> peek
