# generated mutants — taskqueue
# id	status	operator	method	file	killed-by-family	detail
TASKQUEUE_GEN_SDL_1	INVALID	statement-deletion	-	Helper.java	-	the mutated library does not compile: GeneratedATCs.java:14: cannot find symbol
TASKQUEUE_GEN_SEI_2	INVALID	side-effect-insertion	-	Helper.java	-	the mutated library does not compile: Helper.java:25: <identifier> expected
TASKQUEUE_GEN_SDL_3	INVALID	statement-deletion	-	Helper.java	-	the mutated library does not compile: GeneratedATCs.java:23: cannot find symbol
TASKQUEUE_GEN_SEI_4	INVALID	side-effect-insertion	-	Helper.java	-	the mutated library does not compile: Helper.java:26: <identifier> expected
TASKQUEUE_GEN_CRP_5	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TASKQUEUE_GEN_CRP_6	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TASKQUEUE_GEN_CRP_7	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TASKQUEUE_GEN_SDL_8	KILLED	statement-deletion	submit	Helper.java	-	killed by block 0  submit  ensures  Tasks.containsKey(taskId)
TASKQUEUE_GEN_STR_9	SURVIVED	statement-replacement	submit	Helper.java	-	every generated condition still holds
TASKQUEUE_GEN_ARP_10	INVALID	argument-replacement	submit	Helper.java	-	the mutated library does not compile: Helper.java:38: incompatible types: java.lang.String cannot be converted to java.lang.Integer
TASKQUEUE_GEN_MCR_11	SURVIVED	method-call-replacement	submit	Helper.java	-	every generated condition still holds
TASKQUEUE_GEN_SEI_12	KILLED	side-effect-insertion	submit	Helper.java	-	killed by block 0  submit  ensures  nextId == \old(nextId) + 1
TASKQUEUE_GEN_VRO_13	KILLED	variable-replacement	submit	Helper.java	-	killed by block 0  submit  ensures  Tasks.containsKey(taskId)
TASKQUEUE_GEN_AOR_14	KILLED	arithmetic-operator-replacement	submit	Helper.java	-	killed by block 0  submit  ensures  nextId == \old(nextId) + 1
TASKQUEUE_GEN_AOR_15	KILLED	arithmetic-operator-replacement	submit	Helper.java	-	killed by block 0  submit  ensures  nextId == \old(nextId) + 1
