# generated mutants — ticketservice
# id	status	operator	method	file	killed-by-family	detail
TICKETSERVICE_GEN_CRP_1	KILLED	constant-replacement	-	Helper.java	-	killed by block 1  findAndHoldSeats  requires  numSeats > 0 && customerEmail != null && available >= numSeats
TICKETSERVICE_GEN_CRP_2	SURVIVED	constant-replacement	-	Helper.java	ticketservice-052: numSeatsAvailable -> numSeatsAvailable -> findAndHoldSeats -> findAndHoldSeats -> reserveSeats -> findAndHoldSeats -> numSeatsAvailable	every generated condition still holds
TICKETSERVICE_GEN_CRP_3	KILLED	constant-replacement	-	Helper.java	-	killed by the singular case (exit 1)
TICKETSERVICE_GEN_CRP_4	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_5	SURVIVED	constant-replacement	-	Helper.java	ticketservice-136: findAndHoldSeats -> numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable	every generated condition still holds
TICKETSERVICE_GEN_CRP_6	KILLED	constant-replacement	-	Helper.java	-	killed by block 1  findAndHoldSeats  requires  numSeats > 0 && customerEmail != null && available >= numSeats
TICKETSERVICE_GEN_CRP_7	SURVIVED	constant-replacement	-	Helper.java	ticketservice-052: numSeatsAvailable -> numSeatsAvailable -> findAndHoldSeats -> findAndHoldSeats -> reserveSeats -> findAndHoldSeats -> numSeatsAvailable	every generated condition still holds
TICKETSERVICE_GEN_CRP_8	KILLED	constant-replacement	-	Helper.java	-	killed by the singular case (exit 1)
TICKETSERVICE_GEN_CRP_9	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_10	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_11	KILLED	constant-replacement	-	Helper.java	-	killed by the singular case (exit 1)
TICKETSERVICE_GEN_CRP_12	KILLED	constant-replacement	-	Helper.java	-	killed by the singular case (exit 1)
TICKETSERVICE_GEN_CRP_13	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_14	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_15	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_16	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_17	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_18	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_19	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_SDL_20	INVALID	statement-deletion	-	Helper.java	-	the mutated library does not compile: GeneratedATCs.java:25: cannot find symbol
TICKETSERVICE_GEN_SEI_21	INVALID	side-effect-insertion	-	Helper.java	-	the mutated library does not compile: Helper.java:64: <identifier> expected
TICKETSERVICE_GEN_SDL_22	INVALID	statement-deletion	-	Helper.java	-	the mutated library does not compile: GeneratedATCs.java:36: cannot find symbol
TICKETSERVICE_GEN_SEI_23	INVALID	side-effect-insertion	-	Helper.java	-	the mutated library does not compile: Helper.java:65: <identifier> expected
TICKETSERVICE_GEN_AOR_24	SURVIVED	arithmetic-operator-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_AOR_25	SURVIVED	arithmetic-operator-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_AOR_26	SURVIVED	arithmetic-operator-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_AOR_27	SURVIVED	arithmetic-operator-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_28	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_29	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_30	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_31	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_32	INVALID	variable-replacement	-	Helper.java	-	the mutated library does not compile: Helper.java:66: self-reference in initializer
TICKETSERVICE_GEN_VRO_33	INVALID	variable-replacement	-	Helper.java	-	the mutated library does not compile: Helper.java:66: illegal forward reference
TICKETSERVICE_GEN_VRO_34	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_35	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_36	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_37	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_38	INVALID	variable-replacement	-	Helper.java	-	the mutated library does not compile: Helper.java:66: self-reference in initializer
TICKETSERVICE_GEN_VRO_39	INVALID	variable-replacement	-	Helper.java	-	the mutated library does not compile: Helper.java:66: illegal forward reference
TICKETSERVICE_GEN_CRP_40	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_41	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_CRP_42	SURVIVED	constant-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_AOR_43	SURVIVED	arithmetic-operator-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_AOR_44	KILLED	arithmetic-operator-replacement	-	Helper.java	-	killed by the singular case (exit 1)
TICKETSERVICE_GEN_AOR_45	SURVIVED	arithmetic-operator-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_AOR_46	SURVIVED	arithmetic-operator-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_47	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_48	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_49	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_50	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_51	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_52	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_53	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_54	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_55	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_56	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
TICKETSERVICE_GEN_VRO_57	SURVIVED	variable-replacement	-	Helper.java	-	every generated condition still holds
