# generated test strings — ticketservice
# name	status	conditions	sequence
ticketservice-001	STOPPED	11	numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable -> reserveSeats
ticketservice-002	STOPPED	7	numSeatsAvailable -> numSeatsAvailable -> findAndHoldSeats -> findAndHoldSeats -> reserveSeats -> numSeatsAvailable
ticketservice-003	STOPPED	8	numSeatsAvailable -> findAndHoldSeats -> findAndHoldSeats -> reserveSeats -> numSeatsAvailable
ticketservice-004	STOPPED	1	reserveSeats -> numSeatsAvailable -> numSeatsAvailable
ticketservice-005	STOPPED	4	numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable -> reserveSeats
ticketservice-006	STOPPED	16	findAndHoldSeats -> findAndHoldSeats -> findAndHoldSeats -> numSeatsAvailable -> reserveSeats -> numSeatsAvailable
ticketservice-007	STOPPED	1	reserveSeats -> findAndHoldSeats -> findAndHoldSeats -> findAndHoldSeats -> findAndHoldSeats -> findAndHoldSeats
ticketservice-008	STOPPED	15	numSeatsAvailable -> findAndHoldSeats -> findAndHoldSeats -> numSeatsAvailable -> reserveSeats
ticketservice-009	STOPPED	14	numSeatsAvailable -> numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable -> reserveSeats
ticketservice-010	STOPPED	7	numSeatsAvailable -> numSeatsAvailable -> findAndHoldSeats -> reserveSeats
ticketservice-011	STOPPED	8	numSeatsAvailable -> findAndHoldSeats -> reserveSeats -> numSeatsAvailable -> numSeatsAvailable
ticketservice-012	STOPPED	1	reserveSeats -> numSeatsAvailable -> numSeatsAvailable
ticketservice-013	STOPPED	8	numSeatsAvailable -> findAndHoldSeats -> reserveSeats -> numSeatsAvailable
ticketservice-014	STOPPED	19	findAndHoldSeats -> findAndHoldSeats -> numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable -> findAndHoldSeats -> reserveSeats
ticketservice-015	STOPPED	4	numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable -> reserveSeats
ticketservice-016	STOPPED	4	numSeatsAvailable -> reserveSeats -> numSeatsAvailable
ticketservice-017	STOPPED	1	reserveSeats -> findAndHoldSeats -> findAndHoldSeats -> numSeatsAvailable -> numSeatsAvailable
ticketservice-018	PASSED	10	numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable
ticketservice-019	STOPPED	1	reserveSeats -> numSeatsAvailable -> findAndHoldSeats -> reserveSeats -> reserveSeats -> findAndHoldSeats -> findAndHoldSeats
ticketservice-020	STOPPED	4	numSeatsAvailable -> findAndHoldSeats -> findAndHoldSeats -> findAndHoldSeats -> reserveSeats -> numSeatsAvailable -> numSeatsAvailable
ticketservice-021	PASSED	7	findAndHoldSeats -> numSeatsAvailable
ticketservice-022	STOPPED	4	numSeatsAvailable -> reserveSeats
ticketservice-023	STOPPED	1	reserveSeats -> numSeatsAvailable
ticketservice-024	STOPPED	1	findAndHoldSeats -> reserveSeats -> numSeatsAvailable
ticketservice-025	STOPPED	1	findAndHoldSeats -> reserveSeats
ticketservice-026	STOPPED	14	numSeatsAvailable -> numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable -> reserveSeats -> findAndHoldSeats
ticketservice-027	STOPPED	12	numSeatsAvailable -> findAndHoldSeats -> findAndHoldSeats -> reserveSeats
ticketservice-028	PASSED	10	numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable
ticketservice-029	STOPPED	8	findAndHoldSeats -> numSeatsAvailable -> reserveSeats -> numSeatsAvailable
ticketservice-030	STOPPED	5	findAndHoldSeats -> reserveSeats -> numSeatsAvailable
ticketservice-031	STOPPED	4	numSeatsAvailable -> reserveSeats -> findAndHoldSeats -> numSeatsAvailable
ticketservice-032	STOPPED	1	reserveSeats -> numSeatsAvailable -> reserveSeats -> reserveSeats -> reserveSeats -> numSeatsAvailable -> reserveSeats
ticketservice-033	STOPPED	14	numSeatsAvailable -> numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable -> reserveSeats -> numSeatsAvailable
ticketservice-034	STOPPED	1	findAndHoldSeats -> reserveSeats -> numSeatsAvailable -> findAndHoldSeats -> numSeatsAvailable
ticketservice-035	STOPPED	4	numSeatsAvailable -> reserveSeats -> findAndHoldSeats -> numSeatsAvailable
ticketservice-036	STOPPED	11	numSeatsAvailable -> numSeatsAvailable -> findAndHoldSeats -> reserveSeats
